DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1951-0019-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,JPN,Japan,Eastern Asia,Asia,Entire nation except Hokkaido,,,No,No,No,,,Kph,,,,1951,10,,1951,10,,943,,,,,,,,,,,8.531619048,,2003-07-01,2023-09-25
1953-0018-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Nagoya,,,No,No,No,,,Kph,,,,1953,9,25,1953,9,25,250,,1000000,,1000000,,,,,,,8.794130403,,2003-07-01,2023-09-25
1953-0043-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1953,6,,1953,6,,29,,,,,,,,,,,8.794130403,,2003-07-01,2023-09-25
1954-0019-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,North Japan,,,No,No,No,,,Kph,,,,1954,9,26,1954,9,26,1761,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1954-0051-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1954,8,,1954,8,,46,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1954-0057-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1954,9,,1954,9,,27,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1955-0047-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1955,10,,1955,10,,72,,,,,,,,,,,8.787284074,,2003-07-01,2023-09-25
1956-0040-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1956,8,,1956,8,,46,,,,,,,,,,,8.921294773,,2003-07-01,2023-09-25
1957-0039-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1957,9,,1957,9,,109,,,,,,,,,,,9.219396236,,2003-07-01,2023-09-25
1958-0011-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Tokyo,,,No,No,No,,,Kph,,,,1958,9,21,1958,9,21,681,,,,,,,,,,,9.471012447,,2003-07-01,2023-09-25
